ID,Title,Content,"Short Description",Date,"Post Type",Permalink,"Parent Product ID",Sku,Price,"Regular Price","Sale Price","Stock Status",Stock,"External Product URL","Total Sales","Shipping Class","Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Product Type","Product visibility","Product categories","Product tags","Product Visibility",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold Individually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating"
17158,"Cedarwood Essential Oil Soap","Cedarwood “Atlas” is mildly astringent, antibacterial &amp; antifungal, making it a perfect addition to products for acne, eczema, psoriasis, and oily skin. The astringent properties of Cedarwood oil helps remove excess oil from the skin, making it ideal for all skin types. Cedarwood also has antiseptic properties. The rustic and woody aroma of Cedarwood can decrease stress levels and tension as it has a calming effect on the mind.",,2021-01-08,product,https://meliaura.com/index.php/product/cedarwood-essential-oil-soap/,0,CDR064,349,399,349,instock,100,,0,,,,,,,,,simple,,"Body Care (Handmade Soap)>Essential Oil Soap","Cedarwood Essential Oil Soap",,publish,1,admin,meliaura797@gmail.com,,,cedarwood-essential-oil-soap,,,0,0,open,closed,2021-01-09,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.8.0,,,0,0
17159,"Patchouli Essential Oil Soap","Patchouli is known for helping various skin disorders such as dermatitis, eczema, acne, dry chapped skin. Patchouli helps in reducing scars and wrinkles on the skin and increases collagen production that makes the skin soft and supple. Patchouli oil is also known to protect from harmful UV rays that might have harmful effects on your skin while also being anti-fungal and anti-inflammatory. The soap helps remove body odor and leaves a pleasant earthy fragrance.",,2021-01-08,product,https://meliaura.com/index.php/product/patchouli-essential-oil-soap/,0,PTC072,349,399,349,instock,100,,0,,,,,,,,,simple,,"Body Care (Handmade Soap)>Essential Oil Soap","Patchouli Essential Oil Soap",,publish,1,admin,meliaura797@gmail.com,,,patchouli-essential-oil-soap,,,0,0,open,closed,2021-01-09,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.8.0,,,0,0
17161,"Lemon Soap","Lemon Juice is a natural anti-septic and the MELIAURA Lemon Soap treats pimples, acne, blemishes, blackheads, and eczema. The Lemon Soap can also be used to cleanse the scalp as the lemon extracts help remove dandruff and other problems while giving a natural shine to the hair and skin. This soap also removes odor by neutralizing bad smells. Treat your skin with the fragrant handmade soap from MELIAURA.",,2021-01-08,product,https://meliaura.com/index.php/product/lemon-soap/,0,LMN026,149,199,149,instock,50,,0,,,,,,,,,simple,,"Body Care (Handmade Soap)>Luxury Soap","Lemon Soap",,publish,1,admin,meliaura797@gmail.com,,,lemon-soap,,,0,0,open,closed,2021-01-09,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.8.0,,,0,0
17163,"Charcoal Soap","MELIAURA Activated Charcoal Soap is a pure natural deep cleanser that has soothing &amp; healing powers which are perfect for acne reduction &amp; pigmentation. It also helps get rid of dirt, dead skin, pollution, and similar toxins from your skin. It treats oily skin, provides flawless glow, reduces pore size, makes skin tighter &amp; firmer, prevents premature aging, and clears blemishes.",,2021-01-08,product,https://meliaura.com/index.php/product/charcoal-soap/,0,ACS184,349,399,349,instock,100,,0,,,,,,,,,simple,,"Body Care (Handmade Soap)>Luxury Soap","Charcoal Soap",,publish,1,admin,meliaura797@gmail.com,,,charcoal-soap,,,0,0,open,closed,2021-01-09,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.8.0,,,0,0
17165,"Mora Beauty Soap","MELIAURA Mora Soap is made from almonds, papayas, and Multani Mitti. All of these ingredients are often used in beauty treatments as they offer a wide variety of benefits. Papay rejuvenates the skin by removing dead skin while almonds provide fairness to the skin. Multani Mitti is excellent for oily skin as it absorbs excess oil along with other impurities.",,2021-01-08,product,https://meliaura.com/index.php/product/mora-beauty-soap/,0,MBS242,349,399,349,instock,100,,0,,,,,,,,,simple,,"Body Care (Handmade Soap)>Luxury Soap","Mora Beauty Soap",,publish,1,admin,meliaura797@gmail.com,,,mora-beauty-soap,,,0,0,open,closed,2021-01-09,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.8.0,,,0,0
17167,"Rose Petal Soap","MELIAURA Rose Petals Soap is non-toxic soap without chemicals typically present in commercial soap. It works great if you have dry, delicate, or aging skin. It has a tonic effect on the capillaries underneath the skin. It can also reduce the swelling of capillaries and thus diminish redness. It regulates body fluid flow and homeostasis. MELIAURA Rose Petal Soap is enriched with pure rose essential oil &amp; rose petals. Rose essential oil has antibacterial, antifungal, and antiviral properties, which makes this soap ideal to topically treat a host of skin conditions. Rose petals purify the skin and maintain the pH balance of the skin. These combinations are rich in vitamins &amp; minerals that help to relieve dryness, remove dead skin cells.",,2021-01-08,product,https://meliaura.com/index.php/product/rose-petal-soap/,0,RPS110,349,399,349,instock,50,,0,,,,,,,,,simple,,"Body Care (Handmade Soap)>Luxury Soap","Rose Petal Soap",,publish,1,admin,meliaura797@gmail.com,,,rose-petal-soap,,,0,0,open,closed,2021-01-09,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.8.0,,,0,0
17169,"Nalpamaram Soap","MELIAURA Nalpamaram Soap is made from a traditional Ayurvedic medicine. Nalapamaram is made by mixing barks of four trees: Ficus Carica, Ficus Infectoria, Ficus Religiosa, and Ficus Bengalensis. It is commonly used to treat skin ailments and allergies. This soap offers protection from skin problems and smooths out uneven skin. Mixed with cold-pressed extra virgin coconut oil, MELIAURA Nalpamaram Soap is the perfect alternative to commercial soaps that contain harsh chemicals and toxic additives.",,2021-01-08,product,https://meliaura.com/index.php/product/nalpamaram-soap/,0,NPS342,349,399,349,instock,50,,0,,,,,,,,,simple,,"Body Care (Handmade Soap)>Ordinary Herb Soap","Nalpamaram Soap",,publish,1,admin,meliaura797@gmail.com,,,nalpamaram-soap,,,0,0,open,closed,2021-01-09,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.8.0,,,0,0
17171,"Mix Fruit Soap","MELIAURA Mix Fruit soap has a great fruity scent from distilled fruit flavors and is made from the extracts of oranges, apples, watermelons, pomegranates, papayas, cucumbers, grapes, lemons, and tomatoes, with pure coconut oil that makes your skin feel smooth &amp; silky. The MELIAURA Mix Fruit soap has refreshing astringent qualities that give superior conditioning &amp; moisturizing lather. Multani is used as the filler along with Amla (gooseberry) and Hibiscus.",,2021-01-09,product,https://meliaura.com/index.php/product/mix-fruit-soap/,0,,949,999,949,outofstock,0,,0,,,,,,,,,simple,outofstock,"Body Care (Handmade Soap)>Fruit Soap","Mix Fruit Soap",outofstock,publish,1,admin,meliaura797@gmail.com,,,mix-fruit-soap,,,0,0,open,closed,2021-01-09,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.8.0,,,0,0
17172,"Papaya Soap","MELIAURA Papaya Soap is made from papaya pulp that contains natural bleaching properties. Papaya offers delicate care to the skin by healing cracks, removing tan, and moisturizing the skin to make it soft and supple. MELIAURA Papaya Soap can also help in reducing blemishes, removing dead skin, lightening dark spots, and cleansing clogged pores.",,2021-01-09,product,https://meliaura.com/index.php/product/papaya-soap/,0,PPS151,249,299,249,instock,50,,0,,,,,,,,,simple,,"Body Care (Handmade Soap)>Fruit Soap","Papaya Soap",,publish,1,admin,meliaura797@gmail.com,,,papaya-soap,,,0,0,open,closed,2021-01-09,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.8.0,,,0,0
17173,"Amla Shampoo Bar","Amla is one of the richest natural sources of vitamin C and is used in several Ayurvedic medicines for topical application to the hair and skin. Amla is one of the most potent antioxidant herbs used in many hair tonics because it enriches hair growth and hair pigmentation, strengthens the hair roots and promotes long, lustrous, and healthy hair, maintains color, slow hair loss, increase thickness and slow greying, leaves hair soft, silky and shiny good nourishment, reduce scalp infection, clean away the excessive dandruff. Amla acts as a natural hair conditioner to prevent the breaking of hair.","<ul>
 	<li>100% handmade and chemical-free</li>
 	<li>Promotes hair growth and pigmentation</li>
 	<li>Reduces scalp infection</li>
 	<li>Reduces dandruff</li>
</ul>",2021-01-09,product,https://meliaura.com/index.php/product/amla-shampoo-bar/,0,ASB068,149,199,149,instock,5,,0,,,,,,,,,simple,,"Body Care (Handmade Soap)>Shampoo Bar","Amla Shampoo Bar",,publish,1,admin,meliaura797@gmail.com,,,amla-shampoo-bar,,,0,0,open,closed,2021-01-19,no,no,,no,,,,,,,no,yes,,,,,'-1,'-1,,,no,taxable,standard,,,,4.9.0,,,0,0
